country_name,year,production_tu,pct_world_share
Kazakhstan,2013,22451,38.0
Canada,2013,9331,15.8
Australia,2013,6350,10.7
Niger,2013,4518,7.6
Namibia,2013,4323,7.3
Russia,2013,3135,5.3
Uzbekistan,2013,2400,4.1
China,2013,1500,2.5
United States,2013,1792,3.0
India,2013,385,0.7
Kazakhstan,2014,23127,38.1
Canada,2014,9134,15.0
Australia,2014,5001,8.2
Niger,2014,4057,6.7
Namibia,2014,3255,5.4
Russia,2014,2990,4.9
Uzbekistan,2014,2400,4.0
China,2014,1600,2.6
United States,2014,1919,3.2
India,2014,400,0.7
Kazakhstan,2015,23800,39.0
Canada,2015,13325,21.8
Australia,2015,5672,9.3
Niger,2015,4116,6.7
Namibia,2015,2993,4.9
Russia,2015,3055,5.0
Uzbekistan,2015,2385,3.9
China,2015,1616,2.6
United States,2015,1256,2.1
India,2015,400,0.7
Kazakhstan,2016,24575,39.3
Canada,2016,14039,22.5
Australia,2016,6315,10.1
Namibia,2016,3654,5.8
Niger,2016,3479,5.6
Russia,2016,3004,4.8
Uzbekistan,2016,2404,3.8
China,2016,1616,2.6
United States,2016,1125,1.8
India,2016,400,0.6
Kazakhstan,2017,23321,39.0
Canada,2017,13116,21.9
Australia,2017,5882,9.8
Namibia,2017,4224,7.1
Niger,2017,3449,5.8
Russia,2017,2917,4.9
Uzbekistan,2017,2404,4.0
China,2017,1885,3.2
United States,2017,940,1.6
India,2017,423,0.7
Kazakhstan,2018,21705,42.0
Canada,2018,7001,13.5
Australia,2018,6517,12.6
Namibia,2018,5525,10.7
Niger,2018,2911,5.6
Russia,2018,2904,5.6
Uzbekistan,2018,2404,4.7
China,2018,1885,3.6
United States,2018,582,1.1
India,2018,422,0.8
Kazakhstan,2019,22808,42.1
Namibia,2019,5476,10.1
Canada,2019,6938,12.8
Australia,2019,6613,12.2
Niger,2019,2983,5.5
Russia,2019,2846,5.2
Uzbekistan,2019,2404,4.4
China,2019,1885,3.5
United States,2019,68,0.1
India,2019,308,0.6
Kazakhstan,2020,19477,41.3
Namibia,2020,5413,11.5
Canada,2020,3885,8.2
Australia,2020,4192,8.9
Niger,2020,2991,6.3
Russia,2020,2846,6.0
Uzbekistan,2020,2404,5.1
China,2020,1885,4.0
United States,2020,6,0.0
India,2020,308,0.7
Kazakhstan,2021,21819,45.0
Namibia,2021,5306,10.9
Canada,2021,4693,9.7
Australia,2021,4192,8.6
Russia,2021,2635,5.4
Niger,2021,2249,4.6
Uzbekistan,2021,3500,7.2
China,2021,1885,3.9
United States,2021,21,0.0
India,2021,308,0.6
Kazakhstan,2022,21227,43.0
Namibia,2022,5613,11.4
Canada,2022,7351,14.9
Australia,2022,4192,8.5
Russia,2022,2508,5.1
Niger,2022,2020,4.1
Uzbekistan,2022,3500,7.1
China,2022,1885,3.8
United States,2022,38,0.1
India,2022,308,0.6
Kazakhstan,2023,21000,42.0
Namibia,2023,5985,12.0
Canada,2023,7600,15.2
Australia,2023,4500,9.0
Russia,2023,2500,5.0
Niger,2023,1500,3.0
Uzbekistan,2023,3500,7.0
China,2023,1900,3.8
United States,2023,54,0.1
India,2023,350,0.7
Kazakhstan,2024,22800,43.0
Namibia,2024,6200,11.7
Canada,2024,8100,15.3
Australia,2024,4800,9.0
Russia,2024,2550,4.8
Niger,2024,200,0.4
Uzbekistan,2024,3600,6.8
China,2024,2000,3.8
United States,2024,120,0.2
India,2024,380,0.7
