price_date,year,month,price_usd_lb
1990-01-01,1990,1,8.6
1990-02-01,1990,2,8.07
1990-03-01,1990,3,8.68
1990-04-01,1990,4,9.36
1990-05-01,1990,5,7.93
1990-06-01,1990,6,7.91
1990-07-01,1990,7,9.33
1990-08-01,1990,8,8.65
1990-09-01,1990,9,7.62
1990-10-01,1990,10,8.4
1990-11-01,1990,11,7.56
1990-12-01,1990,12,7.53
1991-01-01,1991,1,8.08
1991-02-01,1991,2,6.34
1991-03-01,1991,3,6.47
1991-04-01,1991,4,7.38
1991-05-01,1991,5,7.01
1991-06-01,1991,6,8.05
1991-07-01,1991,7,7.04
1991-08-01,1991,8,6.6
1991-09-01,1991,9,8.87
1991-10-01,1991,10,7.49
1991-11-01,1991,11,7.69
1991-12-01,1991,12,6.46
1992-01-01,1992,1,7.15
1992-02-01,1992,2,7.66
1992-03-01,1992,3,6.63
1992-04-01,1992,4,7.83
1992-05-01,1992,5,7.04
1992-06-01,1992,6,7.27
1992-07-01,1992,7,7.01
1992-08-01,1992,8,8.97
1992-09-01,1992,9,7.46
1992-10-01,1992,10,6.62
1992-11-01,1992,11,8.12
1992-12-01,1992,12,6.47
1993-01-01,1993,1,7.91
1993-02-01,1993,2,6.47
1993-03-01,1993,3,7.26
1993-04-01,1993,4,8.77
1993-05-01,1993,5,9.5
1993-06-01,1993,6,9.34
1993-07-01,1993,7,9.16
1993-08-01,1993,8,9.06
1993-09-01,1993,9,8.17
1993-10-01,1993,10,8.82
1993-11-01,1993,11,9.08
1993-12-01,1993,12,10.35
1994-01-01,1994,1,9.66
1994-02-01,1994,2,7.86
1994-03-01,1994,3,9.41
1994-04-01,1994,4,8.73
1994-05-01,1994,5,8.38
1994-06-01,1994,6,9.29
1994-07-01,1994,7,9.57
1994-08-01,1994,8,9.45
1994-09-01,1994,9,7.98
1994-10-01,1994,10,8.35
1994-11-01,1994,11,8.82
1994-12-01,1994,12,9.28
1995-01-01,1995,1,8.35
1995-02-01,1995,2,8.82
1995-03-01,1995,3,8.31
1995-04-01,1995,4,8.48
1995-05-01,1995,5,10.32
1995-06-01,1995,6,10.98
1995-07-01,1995,7,9.99
1995-08-01,1995,8,11.0
1995-09-01,1995,9,10.64
1995-10-01,1995,10,9.98
1995-11-01,1995,11,10.94
1995-12-01,1995,12,12.03
1996-01-01,1996,1,11.3
