year,country_name,production_tu,pct_world_share
2013,Kazakhstan,22451,38.0
2013,Canada,9331,15.8
2013,Australia,6350,10.7
2013,Niger,4518,7.6
2013,Namibia,4323,7.3
2013,Russia,3135,5.3
2013,Uzbekistan,2400,4.1
2013,China,1500,2.5
2013,United States,1792,3.0
2013,India,385,0.7
2014,Kazakhstan,23127,38.1
2014,Canada,9134,15.0
2014,Australia,5001,8.2
2014,Niger,4057,6.7
2014,Namibia,3255,5.4
2014,Russia,2990,4.9
2014,Uzbekistan,2400,4.0
2014,China,1600,2.6
2014,United States,1919,3.2
2014,India,400,0.7
2015,Kazakhstan,23800,39.0
2015,Canada,13325,21.8
2015,Australia,5672,9.3
2015,Niger,4116,6.7
2015,Namibia,2993,4.9
2015,Russia,3055,5.0
2015,Uzbekistan,2385,3.9
2015,China,1616,2.6
2015,United States,1256,2.1
2015,India,400,0.7
2016,Kazakhstan,24575,39.3
2016,Canada,14039,22.5
2016,Australia,6315,10.1
2016,Namibia,3654,5.8
2016,Niger,3479,5.6
2016,Russia,3004,4.8
2016,Uzbekistan,2404,3.8
2016,China,1616,2.6
2016,United States,1125,1.8
2016,India,400,0.6
2017,Kazakhstan,23321,39.0
2017,Canada,13116,21.9
2017,Australia,5882,9.8
2017,Namibia,4224,7.1
2017,Niger,3449,5.8
2017,Russia,2917,4.9
2017,Uzbekistan,2404,4.0
2017,China,1885,3.2
2017,United States,940,1.6
2017,India,423,0.7
2018,Kazakhstan,21705,42.0
2018,Canada,7001,13.5
2018,Australia,6517,12.6
2018,Namibia,5525,10.7
2018,Niger,2911,5.6
2018,Russia,2904,5.6
2018,Uzbekistan,2404,4.7
2018,China,1885,3.6
2018,United States,582,1.1
2018,India,422,0.8
2019,Kazakhstan,22808,42.1
2019,Namibia,5476,10.1
2019,Canada,6938,12.8
2019,Australia,6613,12.2
2019,Niger,2983,5.5
2019,Russia,2846,5.2
2019,Uzbekistan,2404,4.4
2019,China,1885,3.5
2019,United States,68,0.1
2019,India,308,0.6
2020,Kazakhstan,19477,41.3
2020,Namibia,5413,11.5
2020,Canada,3885,8.2
2020,Australia,4192,8.9
2020,Niger,2991,6.3
2020,Russia,2846,6.0
2020,Uzbekistan,2404,5.1
2020,China,1885,4.0
2020,United States,6,0.0
2020,India,308,0.7
2021,Kazakhstan,21819,45.0
2021,Namibia,5306,10.9
2021,Canada,4693,9.7
2021,Australia,4192,8.6
2021,Russia,2635,5.4
2021,Niger,2249,4.6
2021,Uzbekistan,3500,7.2
2021,China,1885,3.9
2021,United States,21,0.0
2021,India,308,0.6
2022,Kazakhstan,21227,43.0
2022,Namibia,5613,11.4
2022,Canada,7351,14.9
2022,Australia,4192,8.5
2022,Russia,2508,5.1
2022,Niger,2020,4.1
2022,Uzbekistan,3500,7.1
2022,China,1885,3.8
2022,United States,38,0.1
2022,India,308,0.6
2023,Kazakhstan,21000,42.0
2023,Namibia,5985,12.0
2023,Canada,7600,15.2
2023,Australia,4500,9.0
2023,Russia,2500,5.0
2023,Niger,1500,3.0
2023,Uzbekistan,3500,7.0
2023,China,1900,3.8
2023,United States,54,0.1
2023,India,350,0.7
2024,Kazakhstan,22800,43.0
2024,Namibia,6200,11.7
2024,Canada,8100,15.3
2024,Australia,4800,9.0
2024,Russia,2550,4.8
2024,Niger,200,0.4
2024,Uzbekistan,3600,6.8
2024,China,2000,3.8
2024,United States,120,0.2
2024,India,380,0.7
