date,price_usd_lb
1990-01-01,8.6
1990-02-01,8.07
1990-03-01,8.68
1990-04-01,9.36
1990-05-01,7.93
1990-06-01,7.91
1990-07-01,9.33
1990-08-01,8.65
1990-09-01,7.62
1990-10-01,8.4
1990-11-01,7.56
1990-12-01,7.53
1991-01-01,8.08
1991-02-01,6.34
1991-03-01,6.47
1991-04-01,7.38
1991-05-01,7.01
1991-06-01,8.05
1991-07-01,7.04
1991-08-01,6.6
1991-09-01,8.87
1991-10-01,7.49
1991-11-01,7.69
1991-12-01,6.46
1992-01-01,7.15
1992-02-01,7.66
1992-03-01,6.63
1992-04-01,7.83
1992-05-01,7.04
1992-06-01,7.27
1992-07-01,7.01
1992-08-01,8.97
1992-09-01,7.46
1992-10-01,6.62
1992-11-01,8.12
1992-12-01,6.47
1993-01-01,7.91
1993-02-01,6.47
1993-03-01,7.26
1993-04-01,8.77
1993-05-01,9.5
1993-06-01,9.34
1993-07-01,9.16
1993-08-01,9.06
1993-09-01,8.17
1993-10-01,8.82
1993-11-01,9.08
1993-12-01,10.35
1994-01-01,9.66
1994-02-01,7.86
1994-03-01,9.41
1994-04-01,8.73
1994-05-01,8.38
1994-06-01,9.29
1994-07-01,9.57
1994-08-01,9.45
1994-09-01,7.98
1994-10-01,8.35
1994-11-01,8.82
1994-12-01,9.28
1995-01-01,8.35
1995-02-01,8.82
1995-03-01,8.31
1995-04-01,8.48
1995-05-01,10.32
1995-06-01,10.98
1995-07-01,9.99
1995-08-01,11.0
1995-09-01,10.64
1995-10-01,9.98
1995-11-01,10.94
1995-12-01,12.03
1996-01-01,11.3
1996-02-01,13.12
1996-03-01,10.3
1996-04-01,13.59
1996-05-01,13.54
1996-06-01,13.76
1996-07-01,13.99
1996-08-01,12.24
1996-09-01,13.57
1996-10-01,13.95
1996-11-01,14.77
1996-12-01,13.09
1997-01-01,12.44
1997-02-01,12.27
1997-03-01,12.98
1997-04-01,12.1
1997-05-01,10.99
1997-06-01,11.41
1997-07-01,10.98
1997-08-01,11.57
1997-09-01,10.14
1997-10-01,10.34
1997-11-01,10.19
1997-12-01,9.23
1998-01-01,10.55
1998-02-01,10.44
1998-03-01,10.15
1998-04-01,9.88
1998-05-01,8.85
1998-06-01,9.56
1998-07-01,9.51
1998-08-01,9.02
1998-09-01,9.42
1998-10-01,9.76
1998-11-01,10.83
1998-12-01,9.34
1999-01-01,9.34
1999-02-01,9.01
1999-03-01,7.46
1999-04-01,8.91
1999-05-01,8.91
1999-06-01,10.77
1999-07-01,8.45
1999-08-01,8.64
1999-09-01,8.17
1999-10-01,7.07
1999-11-01,8.71
1999-12-01,8.2
2000-01-01,8.15
2000-02-01,6.71
2000-03-01,8.47
2000-04-01,6.15
2000-05-01,7.65
2000-06-01,8.85
2000-07-01,6.33
2000-08-01,6.7
2000-09-01,7.25
2000-10-01,6.8
2000-11-01,5.98
2000-12-01,7.3
2001-01-01,6.44
2001-02-01,7.71
2001-03-01,6.64
2001-04-01,8.66
2001-05-01,6.83
2001-06-01,7.24
2001-07-01,8.2
2001-08-01,6.62
2001-09-01,7.83
2001-10-01,8.75
2001-11-01,6.46
2001-12-01,7.95
2002-01-01,8.12
2002-02-01,8.66
2002-03-01,7.16
2002-04-01,7.21
2002-05-01,8.8
2002-06-01,8.74
2002-07-01,8.97
2002-08-01,9.31
2002-09-01,8.76
2002-10-01,9.75
2002-11-01,10.07
2002-12-01,9.53
2003-01-01,11.83
